property_type,location,price,features
Sharp Two Bedroom Apartment,"Lbs Lekkki Ajah Lagos, Ajah, Lagos","1,200,000 per annum",2 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save
Two Bedroom Bungalow At Cooperative Villa Estate Badore,"Badore, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Toilets Save
2 Bedroom Guest Charlet,"Cooperative Villa, Badore, Ajah, Lagos","1,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
A Fairly Used & Spacious 2 Bedroom Flat,"Atunrase Estate, Gbagada, Lagos","1,100,000 per annum",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
Affordable 1 Bedroom Apartment,"Oniru, Victoria Island (VI), Lagos","1,800,000 per annum",1 Bedroom1 Bathroom2 Toilets Save
Affordable 2 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","6,000,000 per annum",2 Bedrooms2 Bathrooms3 Toilets Save
A Lovely & Nice Very Good Mini Flat With Car Park,"Off Community Road, Akoka, Yaba, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Cozy Mini Flat,"Oniru, Victoria Island (VI), Lagos","2,250,000 per annum",1 Bedroom1 Bathroom1 Toilet Save
A Room Self Contained,"Osapa, Agungi Extention, Lekki Expressway, Lekki, Lagos","350,000 per annum",1 Bathroom2 Toilets10 Parking Spaces600 sqm Total Area Save
A Room Self Contained.,"Agungi, Lekki Expressway, Lekki, Lagos","450,000 per annum",1 Bathroom1 Toilet6 Parking Spaces500 sqm Total Area Save
A Room Self Contained,"Shoprite Road, Osapa, Lekki, Lagos","1,000,000 per annum",1 Bathroom1 Toilet2 Parking Spaces600 sqm Total Area Save
Luxurious Newly Built 2 Bedrooms Flat,"Aptech Estate, Sangotedo, Ajah, Lagos","800,000 per annum",2 Bedrooms2 Bathrooms3 Toilets780 Parking Spaces Save
Very Nice Three (3) Bedroom Flat,"Oral Estate, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
Modern Beautiful Mini Flat With Carpark,"Abule Ijesha, Yaba, Lagos","650,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Two Serviced 1 Bedroom Flat,"Maryland, Lagos","1,000,000 per annum",1 Bedroom Save
Luxury 3 Bedrooms Flat,"1004 Estate, Victoria Island (VI), Lagos","3,500,000 per annum",3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save
Luxury Furnished 2 Bedrooms Flat,"Off Awolowo, Allen, Ikeja, Lagos","1,600,000",2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save
Luxury 2 Bedrooms Flat,"Unilag Estate, Magodo, Lagos","900,000 per annum",2 Bedrooms2 Bathrooms2 Toilets4 Parking Spaces Save
Nice And Standard Mini Flat,"Chevron, Lekki Expressway, Lekki, Lagos","1,000,000 per annum",1 Bedroom Save
Luxurious 2 Bedroom Flat Upstairs,"Harmony Estate Badore Lekki, Ajah, Lagos","750,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
An Extraordinary Ensuites Modern 1 Bedroom Flat,"Abule Ijesha, Yaba, Lagos","700,000 per annum",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
Tastefully Finished 2 Bedroom Flat,"Medina, Gbagada, Lagos","1,300,000 per annum",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
A Very Clean 3 Bedroom Flat,"Berra Estate Chevron, Lekki, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets5 Parking Spaces Save
A Lovely And Nice Well Finished 3 Bedroom Flat With Car Park,"Bolaji Banwo, Aguda, Surulere, Lagos","1,500,000 per annum","3 Bedrooms3 Bathrooms4 Toilets1,500 sqm Total Area Save"
Luxury 2 Bedroom Flat,"Ogba, Ikeja, Lagos","700,000 per annum",2 Bedrooms29 Bathrooms3 Toilets Save
Fantastic Mini Flat,"Gbara, Jakande, Lekki, Lagos","500,000 per annum",1 Bedroom1 Toilet Save
Very Decent 3 Bedroom Flat With Pop Finishing And All Rooms,"Shangisha, GRA, Magodo, Lagos","2,000,000 per annum",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
Fantastic Self Contained Apartment,"Gbara, Jakande, Lekki, Lagos","400,000",1 Toilet Save
Well Maintained Serviced Room Self Contained,"Chevy View, Lekki, Lagos","600,000 per annum",  Save
Luxurious 4 Bedroom Bungalow And A Standby Generator.,"Ocean Garden Estate New Road Opposite Chevron, Lekki, Lagos","1,800,000 per annum",4 Bedrooms4 Bathrooms5 Toilets8 Parking Spaces Save
Tasteful 3 Bedroom Flat,"Osapa, Lekki, Lagos","2,200,000 per annum",3 Bedrooms3 Bathrooms4 Toilets Save
Luxurious Newly Built 2 Bedroom Flat,"Ocean Garden Estate New Road Opposite Chevron, Lekki, Lagos","1,200,000 per annum",2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save
Nice And Standard Brand New Mini Flat,"Agungi, Lekki, Lagos","1,600,000 per annum",1 Bedroom Save
