property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
Sharp Two Bedroom Apartment,Ajah,1200000,2 Bedrooms3 Bathrooms3 Toilets12 Parking Spaces Save, Ajah,2,3,3,12
Two Bedroom Bungalow At Cooperative Villa Estate Badore,Ajah,1000000,2 Bedrooms2 Toilets Save, Ajah,2,2,  ,
2 Bedroom Guest Charlet,Ajah,1000000,2 Bedrooms2 Bathrooms3 Toilets Save, Badore,2,2,3,
A Fairly Used & Spacious 2 Bedroom Flat,Gbagada,1100000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Gbagada,2,2,3,1
Affordable 1 Bedroom Apartment,Victoria Island (VI),1800000,1 Bedroom1 Bathroom2 Toilets Save, Victoria Island (VI),1,1,2,
Affordable 2 Bedroom Apartment,Ikoyi,6000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
A Lovely & Nice Very Good Mini Flat With Car Park,Yaba,700000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Akoka,1,1,2,1
Cozy Mini Flat,Victoria Island (VI),2250000,1 Bedroom1 Bathroom1 Toilet Save, Victoria Island (VI),1,1,1,
A Room Self Contained,Lekki,350000,1 Bathroom2 Toilets10 Parking Spaces600 sqm Total Area Save, Agungi Extention,1,1,2,1
A Room Self Contained.,Lekki,450000,1 Bathroom1 Toilet6 Parking Spaces500 sqm Total Area Save, Lekki Expressway,1,1,1,6
A Room Self Contained,Lekki,1000000,1 Bathroom1 Toilet2 Parking Spaces600 sqm Total Area Save, Osapa,1,1,1,2
Luxurious Newly Built 2 Bedrooms Flat,Ajah,800000,2 Bedrooms2 Bathrooms3 Toilets780 Parking Spaces Save, Sangotedo,2,2,3,
Very Nice Three (3) Bedroom Flat,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Modern Beautiful Mini Flat With Carpark,Yaba,650000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Yaba,1,1,2,1
Two Serviced 1 Bedroom Flat,Maryland,1000000,1 Bedroom Save, Lagos,1, ,,
Luxury 3 Bedrooms Flat,Victoria Island (VI),3500000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,4,4,3
Luxury Furnished 2 Bedrooms Flat,Ikeja,1600000,2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save, Allen,2,2,3,4
